date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:09:05	1763/1763	---M-Z	200	added ('OK')	application/javascript	etag:%222439c2218f9feeb167570424d1298f03%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/4065f39544385145/script.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/4065f39544385145/script.js	(from https://pokerladder.uk/)
20:09:05	16265/16265	---M-Z	200	added ('OK')	application/javascript	etag:%223a80ea7757eb5f404a6f2c534245cae8%22	http://img1.wsimg.com/blobby/go/gpub/6dffa3ce802662b0/script.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/gpub/6dffa3ce802662b0/script.js	(from https://pokerladder.uk/)
20:09:06	3083/3083	---M-Z	200	added ('OK')	application/javascript	etag:%22616f4043b997ac292a2417c0fc645451%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/eff4dee73008007/script.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/eff4dee73008007/script.js	(from https://pokerladder.uk/)
20:09:06	26242/26242	---M-Z	200	added ('OK')	application/javascript	etag:%225ddd16fc79b2b22da147d1044d991489%22	http://img1.wsimg.com/blobby/go/gpub/5ee8908070700024/script.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/gpub/5ee8908070700024/script.js	(from https://pokerladder.uk/)
20:09:06	6737/6737	---M-Z	200	added ('OK')	application/javascript	etag:%22aed802842ea008679ff0910a1005d705%22	http://img1.wsimg.com/blobby/go/gpub/371c18f3a9e22f67/script.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/gpub/371c18f3a9e22f67/script.js	(from https://pokerladder.uk/)
20:09:07	1743/1743	---M-Z	200	added ('OK')	application/javascript	etag:%2264f8656844855497d976d6830b882a7a%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/ab0fa19fbd93d3a9/script.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/ab0fa19fbd93d3a9/script.js	(from https://pokerladder.uk/)
20:09:07	8374/8374	---M-Z	200	added ('OK')	application/javascript	etag:%22f5d83d5654f3e88a7c3e2fff112535f5%22	http://img1.wsimg.com/blobby/go/gpub/616c590b3856982a/script.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/gpub/616c590b3856982a/script.js	(from https://pokerladder.uk/)
20:09:08	4250/4250	---M-Z	200	added ('OK')	application/javascript	etag:%22c58bc781bf746d9f3ca54b7fe0544f03%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/20e53c2349c59144/script.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/20e53c2349c59144/script.js	(from https://pokerladder.uk/)
20:09:08	11891/11891	---M-Z	200	added ('OK')	application/x-javascript	etag:%2252ef5c943baad21:0%22	http://img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	(from https://pokerladder.uk/)
20:09:09	7138/7138	---M-Z	200	added ('OK')	text/css	etag:%22016e922531ce00c1607ace9977b5b941%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/95f0deb73a3bdeae/styles.css	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/95f0deb73a3bdeae/styles.css	(from https://pokerladder.uk/downloads)
20:09:09	1288/1288	---M-Z	200	added ('OK')	text/css	etag:%2287b1d40a2466e443f3ab2a1be92273cd%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/424e431fc2d7d161/styles.css	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/424e431fc2d7d161/styles.css	(from https://pokerladder.uk/downloads)
20:09:09	1168/1168	---M-Z	200	added ('OK')	text/css	etag:%22f7d60b42b97a17a5c3030c7b99edf92a%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/c70f303be6b4bf2f/styles.css	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/c70f303be6b4bf2f/styles.css	(from https://pokerladder.uk/downloads)
20:09:10	77889/77889	---M-Z	200	added ('OK')	application/javascript	etag:%2201d957498ff3c4f12d116b78ea010417%22	http://img1.wsimg.com/blobby/go/gpub/46e1d7900bc2a322/script.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/gpub/46e1d7900bc2a322/script.js	(from https://pokerladder.uk/)
20:09:10	1767/1767	---M-Z	200	added ('OK')	application/javascript	etag:%22b1bd3cfdb6510e8a7b264527de8502e0%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/3e9ec11ab4e4fef/script.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/3e9ec11ab4e4fef/script.js	(from https://pokerladder.uk/downloads)
20:09:11	3083/3083	---M-Z	200	added ('OK')	application/javascript	etag:%2233005e10e533fc01bb061731f2351317%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/3046d59870013345/script.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/3046d59870013345/script.js	(from https://pokerladder.uk/downloads)
20:09:12	1747/1747	---M-Z	200	added ('OK')	application/javascript	etag:%22f67d1376c18ff011469cf803215fd4bb%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/92cc6733c9469b43/script.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/92cc6733c9469b43/script.js	(from https://pokerladder.uk/downloads)
20:09:12	4250/4250	---M-Z	200	added ('OK')	application/javascript	etag:%229b0a1bd4f6e186ae2cd4b0629329cc76%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/a5d29d76e33bb857/script.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/a5d29d76e33bb857/script.js	(from https://pokerladder.uk/downloads)
20:09:13	6790/6790	---M-Z	200	added ('OK')	text/css	etag:%22c325c90b1f4f5c9512ede7af3b4b014b%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/7ae22b93deba1864/styles.css	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/7ae22b93deba1864/styles.css	(from https://pokerladder.uk/rankings)
20:09:13	1569/1569	---M-Z	200	added ('OK')	text/css	etag:%22c712b874411b87212d3e17765c9af5c9%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/1530cbfd71840def/styles.css	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/1530cbfd71840def/styles.css	(from https://pokerladder.uk/rankings)
20:09:13	1277/1277	---M-Z	200	added ('OK')	text/css	etag:%223da1972678498d695769d8621ede5899%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/58ac38a7f2690d1e/styles.css	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/58ac38a7f2690d1e/styles.css	(from https://pokerladder.uk/rankings)
20:09:14	1767/1767	---M-Z	200	added ('OK')	application/javascript	etag:%22c789218913020273b5cbc8601cffad86%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/d1f2309592cda8df/script.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/d1f2309592cda8df/script.js	(from https://pokerladder.uk/rankings)
20:09:14	3083/3083	---M-Z	200	added ('OK')	application/javascript	etag:%228b2324616689c89e3c70db5a789efe4d%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/55396999fc531ae2/script.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/55396999fc531ae2/script.js	(from https://pokerladder.uk/rankings)
